Price,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2024-09-03,221.3162078857422,227.50554667965343,219.72664341730942,227.05848641015993,50190600,-0.027205188425360127,221.0649085998535,220.28298126220704
2024-09-04,219.40872192382812,220.33264539565292,216.06070449558098,220.2134333758585,43840200,-0.008618826339636287,221.75336532592775,220.54030364990234
2024-09-05,220.92874145507812,224.00850159902006,220.07435325324454,220.1836359939166,36615400,0.006927799031515747,222.38931732177736,220.80956909179687
2024-09-06,219.37892150878906,223.7700744804958,218.33577084564575,222.4884846157397,48423000,-0.007015021839538171,222.77461776733398,220.9648794555664
2024-09-09,219.46835327148438,219.82600453136772,215.29576534565257,219.37894424631622,67180000,0.00040765886749838387,223.01901245117188,221.10510864257813
2024-09-10,218.67355346679688,220.03460793809228,215.31560663834654,217.49131703149231,51591000,-0.0036214779618104487,223.14717025756835,221.29850860595704
2024-09-11,221.20692443847656,221.63411098197892,216.4680492147489,220.01475867053273,44587100,0.011585173110859825,223.21621704101562,221.42091674804686
2024-09-12,221.3162078857422,222.09111639532034,218.38546260882887,221.04796566036197,37455600,0.0004940326689277796,223.26837539672852,221.47565032958985
2024-09-13,221.04794311523438,222.57788625371046,220.461797151476,222.12089674811224,36766600,-0.0012121334134114203,223.15809860229493,221.49961547851564
2024-09-16,214.90830993652344,215.80243050187988,212.52396316355507,215.12686027714844,59357400,-0.02777512014898187,222.67477416992188,221.30572357177735
2024-09-17,215.37521362304688,215.48449636527135,213.10016491936787,214.34200737227792,45519300,0.0021725715802303203,222.22274322509764,221.09179656982423
2024-09-18,219.249755859375,221.2565773677011,216.12030400107497,216.1302484418979,59894900,0.0179897313676467,221.9336410522461,220.9382928466797
2024-09-19,227.3763885498047,228.32020097310811,223.16406850984052,223.52171975466862,66781300,0.03706564077381258,222.05633468627929,220.86198181152344
2024-09-20,226.7107696533203,231.56885703306253,226.13455289925716,228.4692229235467,318679900,-0.002927387934735237,222.23863830566407,220.87972747802735
2024-09-23,224.9920196533203,227.95256742425389,224.33632328684277,225.85633703509038,54146000,-0.0075812454901382775,222.2202575683594,220.80415405273436
2024-09-24,225.8861541748047,227.8532433973514,224.2568575968381,227.15779954496355,43556100,0.003974072159813158,222.22969512939454,220.66985595703125
2024-09-25,224.89271545410156,225.80670975939722,222.55806053621265,223.46211039913067,42308700,-0.004397961992545718,222.14723739624023,220.50735382080077
2024-09-26,226.0352020263672,227.00880227293717,223.9389713421174,225.81663654010723,36636700,0.00508014041254623,222.19840087890626,220.48558898925782
2024-09-27,226.3034210205078,228.02214184296878,225.8166284941723,226.9690618971705,34026000,0.0011866248784970779,222.09905319213868,220.56246795654297
2024-09-30,231.47943115234375,231.47943115234375,228.1512873446241,228.5387415800987,54541900,0.02287199242722404,222.29774780273436,220.74028686523437
2024-10-01,224.7337646484375,228.15130254219565,222.27988260723768,228.02216122790813,63285000,-0.029141537415765972,222.46862564086913,220.79013854980468
2024-10-02,225.30003356933594,225.8861795938886,221.56457676904253,224.41584231153624,32880600,0.0025197322787000598,222.76319122314453,220.83047637939453
2024-10-03,224.19728088378906,225.32984066329956,221.86262602596847,223.67074086449446,34044200,-0.0048945961883645195,222.92661819458007,220.9771664428711
2024-10-04,225.31988525390625,226.51205091107013,222.66731173997377,226.41269745663615,37245100,0.005007216705269046,223.22366638183593,221.16714721679688
2024-10-07,220.24325561523438,224.2171516536621,219.8856043654075,223.0349151567562,39505400,-0.022530766128125657,223.26241149902344,221.24626739501954
2024-10-08,224.29660034179688,224.50522136577493,221.79304193960246,222.83619253711748,31855700,0.01840394483472263,223.54356384277344,221.40089721679686
2024-10-09,228.04200744628906,228.25064364916537,223.36275355639287,223.7601370790405,33591100,0.016698456859286726,223.88531799316405,221.61932189941408
2024-10-10,227.5452423095703,228.00224694735937,225.68745107427907,226.2934707248212,28183500,-0.002178393105207843,224.19676971435547,221.76271453857422
2024-10-11,226.06500244140625,227.91286461183438,225.85636623992795,227.80358186995707,31759200,-0.006505255188549386,224.44762268066407,221.95033142089844
2024-10-14,229.79052734375,230.21771386522883,227.1081507143634,227.20748901369805,39882100,0.016479883494170622,225.19173355102538,222.18268920898439
2024-10-15,232.3238983154297,235.9401430278398,230.85354589755886,232.08545910083197,64751400,0.01102469714902532,226.03916778564454,222.6758883666992
2024-10-16,230.2673797607422,230.60515724916505,228.34003796565733,230.0885617348273,34082200,-0.008851945794639438,226.59004898071288,223.1684442138672
